"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\PARAM JANI\Downloads\Smartify\routes\codeRouter.js", "JavaScript", 16, 5, 6, 27
"c:\Users\PARAM JANI\Downloads\Smartify\routes\userRouter.js", "JavaScript", 16, 2, 8, 26
"Total", "-", 32, 7, 14, 53
