"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\PARAM JANI\Downloads\Smartify\models\codeModel.js", "JavaScript", -31, -4, -5, -40
"c:\Users\PARAM JANI\Downloads\Smartify\models\userModel.js", "JavaScript", -70, -4, -8, -82
"c:\Users\PARAM JANI\Downloads\Smartify\models\userOTPVerification.js", "JavaScript", -9, 0, 0, -9
"c:\Users\PARAM JANI\Downloads\Smartify\routes\codeRouter.js", "JavaScript", 16, 5, 6, 27
"c:\Users\PARAM JANI\Downloads\Smartify\routes\userRouter.js", "JavaScript", 16, 2, 8, 26
"Total", "-", -78, -1, 1, -78
