"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\PARAM JANI\Downloads\Smartify\config\db.js", "JavaScript", -16, 0, -5, -21
"c:\Users\PARAM JANI\Downloads\Smartify\controllers\authController.js", "JavaScript", 183, 1, 39, 223
"c:\Users\PARAM JANI\Downloads\Smartify\controllers\codeController.js", "JavaScript", 119, 6, 11, 136
"c:\Users\PARAM JANI\Downloads\Smartify\controllers\userController.js", "JavaScript", 48, 0, 6, 54
"Total", "-", 334, 7, 51, 392
