"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\PARAM JANI\Downloads\Smartify\controllers\authController.js", "JavaScript", -183, -1, -39, -223
"c:\Users\PARAM JANI\Downloads\Smartify\controllers\codeController.js", "JavaScript", -119, -6, -11, -136
"c:\Users\PARAM JANI\Downloads\Smartify\controllers\userController.js", "JavaScript", -48, 0, -6, -54
"c:\Users\PARAM JANI\Downloads\Smartify\middlewares\isLoggedIn.js", "JavaScript", 35, 2, 4, 41
"Total", "-", -315, -5, -52, -372
