"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\PARAM JANI\Downloads\Smartify\middlewares\isLoggedIn.js", "JavaScript", 35, 2, 4, 41
"Total", "-", 35, 2, 4, 41
